Configuration,Language,File Path,Successfully Extracted,Failure Reason
/language:actions,GitHub Actions,.github/workflows/ci.yml,true,""
/language:actions,GitHub Actions,.github/workflows/devskim.yml,true,""
/language:actions,GitHub Actions,.github/workflows/stale-branches.yml,true,""
/language:actions,GitHub Actions,.github/workflows/super-linter.yml,true,""
/language:c-cpp,C,avionics/firmware/cn/src/si5351.h,true,""
/language:c-cpp,C,avionics/firmware/fc/src/bmon_ina2xx.h,true,""
/language:c-cpp,C,avionics/firmware/fc/src/cell_mon_bq769x0.h,true,""
/language:c-cpp,C,avionics/firmware/common/src/sbus_input.c,true,""
/language:c-cpp,C,avionics/firmware/cn/src/si5351.c,true,""
/language:c-cpp,C,gcs/skipper/firmware/pb2i/src/skipper_gimbal.c,true,""
/language:c-cpp,C,gcs/skipper/firmware/pb2i/src/skipper_gimbal.h,true,""
/language:c-cpp,C,avionics/firmware/fc/src/mag_qmc5883l.c,true,""
/language:c-cpp,C,avionics/firmware/fc/src/pwr_fault.h,true,""
/language:c-cpp,C,avionics/firmware/fc/src/cell_mon_bq769x0.c,true,""
/language:c-cpp,C,avionics/firmware/fc/src/mag_mmc5983ma.h,true,""
/language:c-cpp,C,avionics/firmware/fc/src/pwr_fault.c,true,""
/language:c-cpp,C,gcs/skipper/firmware/pb2i/src/skipper_telemetry.c,true,""
/language:c-cpp,C,gcs/skipper/firmware/pb2i/src/skipper_telemetry.h,true,""
/language:c-cpp,C,avionics/firmware/fc/src/mag_qmc5883l.h,true,""
/language:c-cpp,C,avionics/firmware/fc/src/main.c,true,""
/language:c-cpp,C,avionics/firmware/fc/src/mag_mmc5983ma.c,true,""
/language:c-cpp,C,avionics/firmware/common/include/kiss_types.h,true,""
/language:c-cpp,C,avionics/firmware/common/include/sbus_input.h,true,""
/language:c-cpp,C,avionics/firmware/cn/src/xcvr_kiss.c,true,""
/language:c-cpp,C,avionics/firmware/cn/src/xcvr_kiss.h,true,""
/language:c-cpp,C,gcs/skipper/firmware/pb2i/src/skipper_config.h,true,""
/language:c-cpp,C,avionics/firmware/fc/src/bmon_ina2xx.c,true,""
/language:c-cpp,C,avionics/firmware/common/include/ax25_types.h,true,""
/language:c-cpp,C,avionics/firmware/cn/src/main.c,true,""
/language:c-cpp,C,avionics/firmware/fc/src/governor_config.h,false,""
/language:c-cpp,C,avionics/firmware/common/include/failsafe_config.h,false,""
/language:javascript-typescript,JavaScript,archives/serenity/src/App.js,true,""
/language:javascript-typescript,JavaScript,archives/serenity/src/App.test.js,true,""
/language:javascript-typescript,JavaScript,archives/serenity/src/index.js,true,""
/language:javascript-typescript,JavaScript,archives/serenity/src/reportWebVitals.js,true,""
/language:javascript-typescript,JavaScript,archives/serenity/src/setupTests.js,true,""
/language:javascript-typescript,GitHub Actions,.github/workflows/super-linter.yml,true,""
/language:javascript-typescript,GitHub Actions,.github/workflows/ci.yml,true,""
/language:javascript-typescript,GitHub Actions,.github/workflows/devskim.yml,true,""
/language:javascript-typescript,GitHub Actions,.github/workflows/stale-branches.yml,true,""
/language:python,Python,archives/avionics-archives/kicad-archives/archive/gen_cape_b2.py,true,""
/language:python,Python,avionics/kicad/Pilot/scripts/gen_pilot_sch.py,true,""
/language:python,Python,airframe/blender-scripts/blender_middle_intake_cut.py,true,""
/language:python,Python,avionics/kicad/generate_gerbers_rev_s1.py,true,""
