X_mm,Z_mm,path_index
-234.491,84.302,0
-234.713,83.590,0
-234.719,83.585,0
-234.735,83.566,0
-234.747,83.538,0
-234.782,83.474,0
-235.053,83.060,0
-235.204,82.853,0
-235.288,82.766,0
-235.311,82.730,0
-235.313,82.677,0
-235.500,82.000,0
-235.481,81.200,0
-235.388,80.400,0
-235.264,79.951,0
-234.785,79.589,0
-234.731,79.557,0
-234.629,79.475,0
-234.219,78.960,0
-234.164,78.856,0
-234.147,78.785,0
-234.000,78.212,0
-234.000,78.592,0
-234.000,80.405,0
-234.000,85.768,0
-234.000,93.927,0
-234.221,93.361,0
-234.544,92.961,0
-234.944,92.522,0
-235.304,92.122,0
-235.441,91.600,0
-235.508,90.800,0
-235.445,90.008,0
-235.442,89.950,0
-235.392,89.837,0
-235.021,89.293,0
-234.859,89.142,0
-234.653,88.715,0
-234.497,88.400,0
-234.493,88.250,0
-234.482,87.600,0
-234.482,87.418,0
-234.488,86.800,0
-234.488,86.628,0
-234.487,86.000,0
-234.487,85.827,0
-234.487,85.200,0
-234.487,85.025,0
-234.486,84.400,0
-234.491,84.302,0
,,
-224.000,30.500,1
-223.200,30.500,1
-223.000,30.500,1
-222.800,30.500,1
-222.763,30.537,1
-222.662,30.638,1
-222.385,30.915,1
-222.000,30.733,1
-221.363,30.490,1
-220.963,30.338,1
-220.400,30.124,1
-219.600,29.820,1
-219.111,29.634,1
-218.711,29.482,1
-218.000,29.213,1
-217.236,28.924,1
-217.182,28.904,1
-217.148,28.891,1
-217.065,28.859,1
-216.854,28.780,1
-216.615,28.690,1
-216.520,28.654,1
-216.472,28.636,1
-215.600,28.307,1
-214.993,28.078,1
-214.648,27.948,1
-214.619,27.919,1
-214.608,27.908,1
-214.576,27.876,1
-214.557,27.857,1
-214.500,27.800,1
-214.500,27.000,1
-214.500,26.200,1
-214.500,26.000,1
-214.400,25.900,1
-214.000,25.500,1
-213.985,25.485,1
-213.944,25.445,1
-214.037,25.200,1
-214.295,24.523,1
-214.447,24.123,1
-214.646,23.600,1
-214.950,22.800,1
-215.151,22.272,1
-215.313,21.872,1
-215.713,21.248,1
-216.049,20.848,1
-216.450,20.470,1
-216.872,20.070,1
-217.272,19.673,1
-217.670,19.273,1
-218.070,18.840,1
-218.436,18.440,1
-218.906,17.923,1
-218.910,17.918,1
-218.918,17.910,1
-219.199,17.599,1
-219.493,17.289,1
-219.501,17.281,1
-219.505,17.277,1
-219.510,17.272,1
-219.979,16.778,1
-220.359,16.378,1
-220.759,15.957,1
-221.143,15.557,1
-221.543,15.142,1
-221.942,14.742,1
-222.286,14.400,1
-219.478,14.400,1
-219.339,14.546,1
-218.959,14.946,1
-218.559,15.368,1
-218.179,15.768,1
-217.779,16.189,1
-217.407,16.589,1
-217.007,17.038,1
-216.657,17.438,1
-216.257,17.869,1
-215.864,18.269,1
-215.464,18.650,1
-215.039,19.050,1
-214.639,19.423,1
-214.211,19.823,1
-213.811,20.365,1
-213.585,20.765,1
-213.419,21.200,1
-213.115,22.000,1
-212.881,22.614,1
-212.729,23.014,1
-212.506,23.600,1
-212.202,24.400,1
-212.025,24.866,1
-211.873,25.266,1
-211.594,26.000,1
-211.321,26.711,1
-211.165,27.111,1
-210.970,27.600,1
-211.024,28.460,1
-211.025,28.464,1
-211.026,28.466,1
-211.028,28.470,1
-211.204,28.793,1
-211.538,28.924,1
-211.541,28.926,1
-211.544,28.927,1
-211.547,28.928,1
-212.400,29.248,1
-213.068,29.499,1
-213.468,29.650,1
-214.000,29.849,1
-214.800,30.151,1
-215.330,30.351,1
-215.730,30.502,1
