pad,signal,bank
1,TXRX1P_A,A_EthPorts
2,TXRX1M_A,A_EthPorts
3,AVDDL,E_Power
4,TXRX1P_B,A_EthPorts
5,TXRX1M_B,A_EthPorts
6,TXRX1P_C,A_EthPorts
7,TXRX1M_C,A_EthPorts
8,TXRX1P_D,A_EthPorts
9,TXRX1M_D,A_EthPorts
10,AVDDH,E_Power
11,DVDDL,E_Power
12,TXRX2P_A,A_EthPorts
13,TXRX2M_A,A_EthPorts
14,AVDDL,E_Power
15,TXRX2P_B,A_EthPorts
16,TXRX2M_B,A_EthPorts
17,TXRX2P_C,A_EthPorts
18,TXRX2M_C,A_EthPorts
19,AVDDL,E_Power
20,TXRX2P_D,A_EthPorts
21,TXRX2M_D,A_EthPorts
22,AVDDH,E_Power
23,DVDDL,E_Power
24,TXRX3P_A,A_EthPorts
25,TXRX3M_A,A_EthPorts
26,TXRX3P_B,A_EthPorts
27,TXRX3M_B,A_EthPorts
28,TXRX3P_C,A_EthPorts
29,TXRX3M_C,A_EthPorts
30,AVDDL,E_Power
31,TXRX3P_D,A_EthPorts
32,TXRX3M_D,A_EthPorts
33,AVDDH,E_Power
34,TXRX4P_A,A_EthPorts
35,TXRX4M_A,A_EthPorts
36,AVDDL,E_Power
37,TXRX4P_B,A_EthPorts
38,TXRX4M_B,A_EthPorts
39,TXRX4P_C,A_EthPorts
40,TXRX4M_C,A_EthPorts
41,AVDDL,E_Power
42,TXRX4P_D,A_EthPorts
43,TXRX4M_D,A_EthPorts
44,AVDDH,E_Power
45,DVDDL,E_Power
46,GND,F_Ground
47,GND,F_Ground
48,TX_CLK6/REFCLKI6,B_Port6_MII
49,TX_EN6/TX_CTL6,B_Port6_MII
50,TX_ER6,B_Port6_MII
51,COL6,B_Port6_MII
52,TXD6_3,B_Port6_MII
53,TXD6_2,B_Port6_MII
54,TXD6_1,B_Port6_MII
55,TXD6_0,B_Port6_MII
56,DVDDL,E_Power
57,RX_CLK6/REFCLKO6,B_Port6_MII
58,RX_DV6/CRS_DV6/RX_CTL6,B_Port6_MII
59,RX_ER6,B_Port6_MII
60,CRS6,B_Port6_MII
61,VDDIO,E_Power
62,RXD6_3,B_Port6_MII
63,RXD6_2,B_Port6_MII
64,RXD6_1,B_Port6_MII
65,RXD6_0,B_Port6_MII
66,DVDDL,E_Power
67,IBA,D_Ctrl_Clk
68,VDDIO,E_Power
69,GND,F_Ground
70,DVDDL,E_Power
71,VDDLS,E_Power
72,VDDHS,E_Power
73,NC,D_Ctrl_Clk
74,NC,D_Ctrl_Clk
75,GND,F_Ground
76,S_REXT,D_Ctrl_Clk
77,GND,F_Ground
78,S_IN7M,D_Ctrl_Clk
79,S_IN7P,D_Ctrl_Clk
80,GND,F_Ground
81,S_OUT7P,D_Ctrl_Clk
82,S_OUT7M,D_Ctrl_Clk
83,VDDHS,E_Power
84,VDDLS,E_Power
85,LED4_0,D_Ctrl_Clk
86,LED4_1,D_Ctrl_Clk
87,DVDDL,E_Power
88,LED3_0,D_Ctrl_Clk
89,LED3_1,D_Ctrl_Clk
90,GPIO_1,D_Ctrl_Clk
91,LED2_0,D_Ctrl_Clk
92,LED2_1,D_Ctrl_Clk
93,PME_N,C_Mgmt_SPI
94,INTRP_N,C_Mgmt_SPI
95,SYNCLKO,D_Ctrl_Clk
96,RESET_N,C_Mgmt_SPI
97,SDO,C_Mgmt_SPI
98,SDI/SDA/MDIO,C_Mgmt_SPI
99,VDDIO,E_Power
100,SCS_N,C_Mgmt_SPI
101,SCL/MDC,C_Mgmt_SPI
102,LED5_0,D_Ctrl_Clk
103,LED5_1,D_Ctrl_Clk
104,DVDDL,E_Power
105,LED1_0,D_Ctrl_Clk
106,LED1_1,D_Ctrl_Clk
107,GND,F_Ground
108,NC,D_Ctrl_Clk
109,GND,F_Ground
110,DVDDL,E_Power
111,AVDDH,E_Power
112,TXRX5P_A,A_EthPorts
113,TXRX5M_A,A_EthPorts
114,AVDDL,E_Power
115,TXRX5P_B,A_EthPorts
116,TXRX5M_B,A_EthPorts
117,TXRX5P_C,A_EthPorts
118,TXRX5M_C,A_EthPorts
119,AVDDL,E_Power
120,TXRX5P_D,A_EthPorts
121,TXRX5M_D,A_EthPorts
122,AVDDH,E_Power
123,GND,F_Ground
124,AVDDL,E_Power
125,XO,D_Ctrl_Clk
126,XI,D_Ctrl_Clk
127,ISET,D_Ctrl_Clk
128,AVDDH,E_Power
129,GND,F_Ground
