pad,signal,elec_type
1,PA0,bidirectional
2,PA1,bidirectional
3,PA28,bidirectional
4,NRST,input
5,PA31,bidirectional
6,VDD,power_in
7,VSS,power_in
8,PA2,bidirectional
9,PA3,bidirectional
10,PA4,bidirectional
11,PA5,bidirectional
12,PA6,bidirectional
13,PA7,bidirectional
14,PB2,bidirectional
15,PB3,bidirectional
16,PA8,bidirectional
17,PA9,bidirectional
18,PA10,bidirectional
19,PA11,bidirectional
20,PB6,bidirectional
21,PB7,bidirectional
22,PB8,bidirectional
23,PB9,bidirectional
24,PB14,bidirectional
25,PB15,bidirectional
26,PB16,bidirectional
27,PA12,bidirectional
28,PA13,bidirectional
29,PA14,bidirectional
30,PA15,bidirectional
31,PA16,bidirectional
32,PA17,bidirectional
33,PA18,bidirectional
34,PA19/SWDIO,bidirectional
35,PA20/SWCLK,bidirectional
36,PB17,bidirectional
37,PB18,bidirectional
38,PB19,bidirectional
39,PA21,bidirectional
40,PA22,bidirectional
41,PB20,bidirectional
42,PB24,bidirectional
43,PA23,bidirectional
44,PA24,bidirectional
45,PA25,bidirectional
46,PA26,bidirectional
47,PA27,bidirectional
48,VCORE,passive
49,VSS,power_in
