pad,signal,elec_type
1,VDD,power_in
2,GND,power_in
3,GPIO_00,bidirectional
4,GPIO_01,bidirectional
5,NCI,no_connect
6,NC,no_connect
7,GPIO_02,bidirectional
8,NCI/VDD,passive
9,GND,power_in
10,NCI/VDD,passive
11,NCI,no_connect
12,NCI,no_connect
13,NCI,no_connect
14,VDD,power_in
15,NCI,no_connect
16,NCI/GND,passive
17,RST#,input
18,PIRQ#,output
19,SCLK,input
20,CS#,input
21,MOSI,input
22,VDD,power_in
23,GND,power_in
24,MISO,output
25,NCI,no_connect
26,NCI,no_connect
27,NCI,no_connect
28,NCI,no_connect
29,NC,no_connect
30,NC,no_connect
31,NCI,no_connect
32,GND,power_in
