pad,signal,functional_group
1,X_GPMC0_CSN2,GPMC
2,X_GPMC0_CSN1,GPMC
3,X_GPMC0_CSN0,GPMC
4,X_GPMC0_AD0/BOOTMODE_0,GPMC
5,X_GPMC0_AD1/BOOTMODE_1,GPMC
6,X_GPMC0_AD2/BOOTMODE_2,GPMC
7,X_GPMC0_AD3/BOOTMODE_3,GPMC
8,X_GPMC0_AD4/BOOTMODE_4,GPMC
9,X_GPMC0_AD5/BOOTMODE_5,GPMC
10,X_GPMC0_AD6/BOOTMODE_6,GPMC
11,X_GPMC0_AD7/BOOTMODE_7,GPMC
12,X_GPMC0_AD8/BOOTMODE_8,GPMC
13,X_GPMC0_AD9/BOOTMODE_9,GPMC
14,X_GPMC0_AD10/BOOTMODE_10,GPMC
15,X_GPMC0_AD11/BOOTMODE_11,GPMC
16,X_GPMC0_AD12/BOOTMODE_12,GPMC
17,X_GPMC0_AD13/BOOTMODE_13,GPMC
18,X_GPMC0_AD14/BOOTMODE_14,GPMC
19,X_GPMC0_AD15/BOOTMODE_15,GPMC
20,X_GPMC0_WAIT0,GPMC
21,X_GPMC0_DIR,GPMC
22,X_GPMC0_CLK,GPMC
23,SOC_VDDSHV5_SDIO,Power
24,VBAT,Power
25,VIN_25,Power
26,VIN_26,Power
27,X_VOUT0_PCLK,Video Out
28,X_VOUT0_DE,Video Out
29,X_VOUT0_VSYNC,Video Out
30,X_VOUT0_HSYNC,Video Out
31,X_VOUT0_DATA15,Video Out
32,X_VOUT0_DATA14,Video Out
33,X_VOUT0_DATA13,Video Out
34,X_VOUT0_DATA12,Video Out
35,X_VOUT0_DATA11,Video Out
36,X_VOUT0_DATA10,Video Out
37,X_VOUT0_DATA9,Video Out
38,X_VOUT0_DATA8,Video Out
39,X_VOUT0_DATA7,Video Out
40,X_VOUT0_DATA6,Video Out
41,X_VOUT0_DATA5,Video Out
42,X_VOUT0_DATA4,Video Out
43,X_VOUT0_DATA3,Video Out
44,X_VOUT0_DATA2,Video Out
45,X_VOUT0_DATA1,Video Out
46,X_VOUT0_DATA0,Video Out
47,X_MDIO0_MDC,RGMII 2
48,X_MDIO0_MDIO,RGMII 2
49,X_CPSW_RGMII2_RX_CTL,RGMII 2
50,X_CPSW_RGMII2_RXC,RGMII 2
51,X_CPSW_RGMII2_RD3,RGMII 2
52,X_CPSW_RGMII2_RD2,RGMII 2
53,X_CPSW_RGMII2_RD1,RGMII 2
54,X_CPSW_RGMII2_RD0,RGMII 2
55,X_CPSW_RGMII2_TX_CTL,RGMII 2
56,X_CPSW_RGMII2_TXC,RGMII 2
57,X_CPSW_RGMII2_TD0,RGMII 2
58,X_CPSW_RGMII2_TD1,RGMII 2
59,X_CPSW_RGMII2_TD2,RGMII 2
60,X_CPSW_RGMII2_TD3,RGMII 2
61,X_CPSW_ETH0_GPIO_0,Ethernet
62,X_CPSW_ETH0_LED_ACTIVITY,Ethernet
63,X_CPSW_ETH0_D-,Ethernet
64,X_CPSW_ETH0_D+,Ethernet
65,X_CPSW_ETH0_C-,Ethernet
66,X_CPSW_ETH0_C+,Ethernet
67,X_CPSW_ETH0_B-,Ethernet
68,X_CPSW_ETH0_B+,Ethernet
69,X_CPSW_ETH0_A-,Ethernet
70,X_CPSW_ETH0_A+,Ethernet
71,X_CPSW_ETH0_LED_LINK,Ethernet
72,X_CPSW_ETH0_NINT,Ethernet
73,X_USB0_DRVVBUS,USB
74,X_USB0_DM,USB
75,X_USB0_DP,USB
76,X_USB0_VBUS,USB
77,X_USB1_DRVVBUS,USB
78,X_USB1_DM,USB
79,X_USB1_DP,USB
80,X_USB1_VBUS,USB
81,X_CSI0_RXCLKP,MIPI CSI-2
82,X_CSI0_RXCLKN,MIPI CSI-2
83,X_CSI0_RXP1,MIPI CSI-2
84,X_CSI0_RXN1,MIPI CSI-2
85,X_CSI0_RXP2,MIPI CSI-2
86,X_CSI0_RXN2,MIPI CSI-2
87,X_CSI0_RXP3,MIPI CSI-2
88,X_CSI0_RXN3,MIPI CSI-2
89,X_CSI0_RXP0,MIPI CSI-2
90,X_CSI0_RXN0,MIPI CSI-2
91,VDD_3V3_OUT_91,Power
92,VDD_3V3_OUT_92,Power
93,VDD_3V3_OUT_93,Power
94,VDD_3V3_OUT_94,Power
95,NC_95,unit6
96,NC_96,unit6
97,NC_97,unit6
98,NC_98,unit6
99,NC_99,unit6
100,NC_100,unit6
101,NC_101,unit6
102,NC_102,unit6
103,NC_103,unit6
104,NC_104,unit6
105,NC_105,unit6
106,NC_106,unit6
107,NC_107,unit6
108,NC_108,unit6
109,NC_109,unit6
110,NC_110,unit6
111,X_WKUP_UART0_RTSN,WKUP IO
112,X_WKUP_UART0_CTSN,WKUP IO
113,X_WKUP_UART0_RXD,WKUP IO
114,X_WKUP_UART0_TXD,WKUP IO
115,X_MCU_MCAN0_RX,MCU IO
116,X_MCU_MCAN0_TX,MCU IO
117,X_MCU_MCAN1_RX,MCU IO
118,X_MCU_MCAN1_TX,MCU IO
119,X_MCU_I2C0_SCL,MCU IO
120,X_MCU_I2C0_SDA,MCU IO
121,X_MCU_SPI0_CLK,MCU IO
122,X_MCU_SPI0_D0,MCU IO
123,X_MCU_SPI0_D1,MCU IO
124,X_MCU_SPI0_CS1,MCU IO
125,X_WKUP_I2C0_SCL,WKUP IO
126,X_WKUP_I2C0_SDA,WKUP IO
127,X_MCU_UART0_CTSN,MCU IO
128,X_MCU_UART0_RTSN,MCU IO
129,X_MCU_UART0_RXD,MCU IO
130,X_MCU_UART0_TXD,MCU IO
131,X_WKUP_CLKOUT0,WKUP IO
132,X_EXT_REFCLK1,General IO
133,X_SPI0_CLK,General IO
134,X_SPI0_D0,General IO
135,X_SPI0_D1,General IO
136,X_SPI0_CS0,General IO
137,X_SPI0_CS1,General IO
138,X_UART0_CTSN,General IO
139,X_UART0_RTSN,General IO
140,X_UART0_RXD,General IO
141,X_UART0_TXD,General IO
142,X_MCAN0_RX,General IO
143,X_MCAN0_TX,General IO
144,X_I2C0_SCL,General IO
145,X_I2C0_SDA,General IO
146,X_I2C1_SCL,General IO
147,X_I2C1_SDA,General IO
148,X_MCASP0_AFSR,Audio / MCASP
149,X_MCASP0_AFSX,Audio / MCASP
150,X_MCASP0_ACLKR,Audio / MCASP
151,X_MCASP0_ACLKX,Audio / MCASP
152,X_MCASP0_AXR3,Audio / MCASP
153,X_MCASP0_AXR2,Audio / MCASP
154,X_MCASP0_AXR1,Audio / MCASP
155,X_MCASP0_AXR0,Audio / MCASP
156,X_MMC1_SDWP,MMC1
157,X_MMC1_SDCD,MMC1
158,X_MMC1_CLK,MMC1
159,X_MMC1_DAT0,MMC1
160,X_MMC1_DAT1,MMC1
161,X_MMC1_DAT2,MMC1
162,X_MMC1_DAT3,MMC1
163,X_MMC1_CMD,MMC1
164,X_MMC2_SDWP,MMC2
165,X_MMC2_SDCD,MMC2
166,X_MMC2_CLK,MMC2
167,X_MMC2_DAT0,MMC2
168,X_MMC2_DAT1,MMC2
169,X_MMC2_DAT2,MMC2
170,X_MMC2_DAT3,MMC2
171,X_MMC2_CMD,MMC2
172,X_GPMC0_BE1N,GPMC
173,X_GPMC0_BE0N_CLE,GPMC
174,X_GPMC0_ADVN_ALE,GPMC
175,X_GPMC0_CSN3,GPMC
176,X_GPMC0_WAIT1,GPMC
177,X_GPMC0_WPN,GPMC
178,X_GPMC0_OEN_REN,GPMC
179,X_GPMC0_WEN,GPMC
180,X_RESETSTATZ,Reset / Error
181,X_MCU_SAFETY_ERRORN,Reset / Error
182,X_PMIC_EN,Reset / Error
183,X_NRESET_IN,Reset / Error
184,X_PGOOD,Reset / Error
185,X_MCU_RESETSTATZ,Reset / Error
186,X_MCU_RESETZ,Reset / Error
187,X_PORZ_OUT,Reset / Error
188,X_RESET_REQZ,Reset / Error
189,GND_189,Power
190,GND_190,Power
191,GND_191,Power
192,GND_192,Power
193,GND_193,Power
194,GND_194,Power
195,GND_195,Power
196,GND_196,Power
197,GND_197,Power
198,GND_198,Power
199,GND_199,Power
200,GND_200,Power
201,GND_201,Power
202,GND_202,Power
203,GND_203,Power
204,GND_204,Power
205,GND_205,Power
206,GND_206,Power
207,GND_207,Power
208,GND_208,Power
209,GND_209,Power
210,GND_210,Power
211,GND_211,Power
212,GND_212,Power
213,GND_213,Power
214,GND_214,Power
215,GND_215,Power
216,GND_216,Power
217,GND_217,Power
218,GND_218,Power
219,GND_219,Power
220,GND_220,Power
221,GND_221,Power
222,GND_222,Power
223,GND_223,Power
224,GND_224,Power
225,GND_225,Power
226,GND_226,Power
227,GND_227,Power
228,GND_228,Power
229,GND_229,Power
230,GND_230,Power
231,GND_231,Power
232,GND_232,Power
233,GND_233,Power
234,GND_234,Power
235,GND_235,Power
236,GND_236,Power
237,X_RTC_INT,Reset / Error
238,X_EMU1,JTAG
239,X_EMU0,JTAG
240,X_RTC_EVI,Reset / Error
241,X_VPP_EN,Reset / Error
242,X_TRSTN,JTAG
243,X_TMS,JTAG
244,X_TDO,JTAG
245,X_TDI,JTAG
246,X_TCK,JTAG
247,GND_247,Power
248,GND_248,Power
249,GND_249,Power
250,GND_250,Power
251,GND_251,Power
252,GND_252,Power
253,GND_253,Power
254,GND_254,Power
255,GND_255,Power
256,GND_256,Power
257,GND_257,Power
258,GND_258,Power
259,GND_259,Power
260,GND_260,Power
261,GND_261,Power
262,GND_262,Power
263,GND_263,Power
264,GND_264,Power
265,GND_265,Power
266,GND_266,Power
267,GND_267,Power
268,GND_268,Power
269,GND_269,Power
270,GND_270,Power
